ID Item;REF;DESCRPCION;Unidad
380;S-20925 HENDRICK-SAMPA REF:105.458                ;ARO EXCENTRICO ALINEACION 105.458 SAMPA;UND 
4425;23618-046                                         ;AXLE NUT A12-101 ARGO BOGIE FUWA;UND 
385;17255                                             ;BABERO CORTINA LATERAL AM-45.COCA COLA.;UND 
394;1516                                              ;BALANCIN NORMAL -SUSPENSION ROMARCO-;UND 
9880;0009880                                           ;BANDA CAUCHO TOYOTA 117mm-ANCHOx22mm-ESP;m   
5564;05564                                             ;"BANDA DE CAUCHO 4""x3/8""ESP.";m   
10523;0010523                                           ;BANDA DE CAUCHO 6mm-ESPx190mm-ANCHO;m   
13930;AE-43001603                                       ;BANDA DE CAUCHO NAT.60mm x 3/8 AE-43;m   
13460;0013460                                           ;BANDA FRENO 190mm-ANCHO. P/EJE-11TON;UND 
400;15807                                             ;BARNIZ TRANSP.SD-1 BRILLANTE -INTERIORES;GAL 
409;25613                                             ;BARRA PERFORADA AC.SKF-280 100x56mm;kg  
12595;012595                                            ;BARRA PERFORADA AC.SKF-280 100x63mm.;Kg  
9932;0009932                                           ;BARRA PERFORADA AC.SKF-280 108x68mm.;Kg  
11422;0011422                                           ;BARRA PERFORADA AC.SKF-280 118x71mm.;Kg  
414;1200                                              ;BARRA PERFORADA AC.SKF-280 118x80mm.;Kg  
6083;06083                                             ;BARRA PERFORADA AC.SKF-280 120x100mm.;Kg  
416;88                                                ;BARRA PERFORADA AC.SKF-280 125x100mm.;Kg  
14466;0014466                                           ;BARRA PERFORADA AC.SKF-280 125x80mm.;Kg  
11469;0011469                                           ;BARRA PERFORADA AC.SKF-280 140x90mm.;Kg  
10989;0010989                                           ;BARRA PERFORADA AC.SKF-280 145x115mm.;Kg  
11340;0011340                                           ;BARRA PERFORADA AC.SKF-280 150x106mm.;Kg  
4419;20436                                             ;BARRA PERFORADA AC.SKF-280 160x135mm.;kg  
422;0000422                                           ;BARRA PERFORADA AC.SKF-280 170x130mm.;Kg  
423;3384                                              ;BARRA PERFORADA AC.SKF-280 180x125mm.;Kg  
12560;0012560                                           ;BARRA PERFORADA AC.SKF-280 224x134mm.;Kg  
424;21640                                             ;BARRA PERFORADA AC.SKF-280 224x160mm.;Kg  
287;18931                                             ;AMORTIGUADOR S-25436 HENDRICKSON.;UND 
315;19350                                             ;ANILLO RETENCION TAPA 9Q4977 BETTS.V.SEC;UND 
372;22356-004                                         ;"ARCO EN ACERO AJUSTABLE 102"" R0121SA2 MO";UND 
11419;011419                                            ;BARRA PERFORADA AC.SKF-280 236x170mm.;Kg  
14701;0014701                                           ;BARRA PERFORADA AC.SKF-280 56x36mm.;Kg  
4325;12293                                             ;BASE DELANTERA 1225-00 LH/RH REYCO.;UND 
14589;0014589                                           ;BARRA PERFORADA AC.SKF-280 60x40mm.;Kg  
492;11755-001                                         ;BISAGRA ALUM.4525-DERECHA-.;UND 
